                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.38114,                0.51494,                0.82139,                0.99647,                 0.2187,                0.22222,                0.25398,                0.24366,                 0.2187,                0.22222,                0.25398,                0.24631,                0.32932,                0.35053,                 5.1478,                 1.0967,             0.00011835,             0.00011835,             0.00011835
                     35,                0.37708,                0.49824,                0.76986,                0.99771,                0.21657,                0.22387,                0.26568,                0.25806,                0.21657,                0.22387,                0.26568,                0.26031,                0.34331,                0.35315,                 5.2849,                 1.0812,             0.00011195,             0.00011195,             0.00011195
                     36,                0.36461,                0.52572,                0.78131,                0.97877,                0.21622,                0.22227,                 0.2477,                0.23819,                0.21622,                0.22227,                 0.2477,                0.24165,                0.34646,                0.35156,                 5.3468,                 1.0693,             0.00010556,             0.00010556,             0.00010556
                     37,                0.37141,                0.52236,                0.78174,                0.98545,                0.21996,                0.22359,                0.26139,                0.25411,                0.21996,                0.22359,                0.26222,                0.25668,                0.30214,                0.34739,                 5.3214,                 1.0222,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     38,                0.35882,                0.50963,                0.72844,                 0.9774,                0.21962,                0.22516,                0.26464,                0.25605,                0.21962,                0.22516,                0.26608,                0.25981,                0.31533,                0.35284,                 5.3354,                 1.0274,             9.2766e-05,             9.2766e-05,             9.2766e-05
                     39,                0.35186,                0.50455,                 0.7365,                0.97265,                0.22032,                0.22349,                 0.2734,                0.26259,                0.22032,                0.22349,                 0.2734,                0.26844,                  0.338,                0.36353,                 5.1815,                  1.067,              8.637e-05,              8.637e-05,              8.637e-05
                     40,                0.35524,                0.49143,                0.67322,                0.96965,                  0.211,                0.25913,                  0.282,                0.27505,                  0.211,                0.25913,                  0.282,                0.27712,                0.31646,                  0.355,                 5.2835,                 1.0479,             7.9975e-05,             7.9975e-05,             7.9975e-05
                     41,                0.20796,                0.32555,                0.27771,                0.94564,                0.21506,                0.22687,                0.25263,                0.24718,                0.21506,                0.22687,                0.25263,                0.24945,                0.33037,                  0.362,                 5.3587,                  1.037,             7.3579e-05,             7.3579e-05,             7.3579e-05
                     42,                0.20019,                0.32294,                0.26043,                0.93961,                0.21413,                 0.2233,                0.23787,                0.23599,                0.21413,                 0.2233,                0.23787,                0.23496,                0.34302,                 0.3469,                 5.5123,                 1.0524,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     43,                0.19246,                0.30369,                0.23888,                0.94515,                0.24952,                0.22268,                0.25266,                 0.2504,                0.24952,                0.22268,                0.25266,                0.24918,                0.34037,                0.34806,                 5.4932,                 1.0409,             6.0789e-05,             6.0789e-05,             6.0789e-05
                     44,                0.19145,                0.29881,                0.22296,                0.93197,                0.21992,                 0.2242,                0.24391,                0.23823,                0.21992,                 0.2242,                0.24391,                0.24192,                0.33461,                0.33283,                 5.5748,                 1.0318,             5.4393e-05,             5.4393e-05,             5.4393e-05
                     45,                 0.1907,                 0.3034,                0.21401,                0.92541,                0.21851,                0.22334,                0.23706,                0.23338,                0.21851,                0.22334,                0.23706,                0.23517,                0.34136,                0.35125,                 5.4933,                 1.0353,             4.7998e-05,             4.7998e-05,             4.7998e-05
                     46,                0.17943,                0.29483,                0.19687,                 0.9109,                0.21926,                0.22299,                0.23952,                0.23416,                0.21926,                0.22299,                0.23952,                0.23648,                0.32846,                0.33109,                 5.6025,                 1.0298,             4.1602e-05,             4.1602e-05,             4.1602e-05
                     47,                0.16836,                0.29291,                0.19682,                0.90709,                 0.2182,                0.22363,                0.24475,                0.24033,                 0.2182,                0.22363,                0.24475,                0.24151,                0.33371,                 0.3267,                 5.5798,                 1.0246,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     48,                0.16759,                0.28645,                0.18384,                0.89475,                0.21832,                  0.223,                0.22728,                0.22485,                0.21832,                  0.223,                0.22728,                0.22521,                0.34815,                 0.3335,                  5.486,                 1.0445,             2.8812e-05,             2.8812e-05,             2.8812e-05
                     49,                0.16529,                0.29152,                0.18041,                0.89953,                0.22005,                0.22281,                0.23037,                0.22496,                0.22005,                0.22281,                0.23037,                0.22721,                0.33403,                 0.3383,                 5.6667,                 1.0306,             2.2416e-05,             2.2416e-05,             2.2416e-05
                     50,                0.17023,                0.28986,                0.17868,                0.91735,                0.22023,                0.22276,                0.23037,                0.22592,                0.22023,                0.22276,                0.23037,                0.22857,                0.33802,                0.33253,                 5.7632,                  1.027,             1.6021e-05,             1.6021e-05,             1.6021e-05
